query,expected_intent,actual_intent,routing_score,precision@3,recall@3,f1@3,gen_score,latency
What weapons does Alistar use?,Graph,Vector,0,0.0,0.0,0.0,0,3.53
In which region is Alistar originally from?,Graph,Vector,0,0.0,0.0,0.0,0,3.3
Who are some characters related to Alistar?,Graph,Vector,0,0.0,0.0,0.0,0,1.74
What factions does Alistar belong to?,Graph,Vector,0,0.0,0.0,0.0,5,5.43
What are Alistar's general feelings towards Noxians based on his early life?,Vector,Vector,1,0.0,0.0,0.0,10,8.95
"What significant event happened when the Noxian empire first approached the Great Barrier, according to Alistar's perspective?",Vector,Vector,1,0.0,0.0,0.0,10,5.15
Describe Alistar's initial reaction to the Noxian emissary's request for support.,Vector,Vector,1,0.0,0.0,0.0,9,8.94
What made Alistar distrust the Noxians?,Vector,Vector,1,0.0,0.0,0.0,0,4.77
How did Alistar's skepticism about Noxians influence his clan's involvement with the city of Basilich?,Hybrid,Vector,0,0.0,0.0,0.0,5,7.91
"Considering Alistar's distrust of Noxians, what role did House Tewain play in the events surrounding the Great Barrier?",Hybrid,Vector,0,0.0,0.0,0.0,5,7.39
What does Alistar think of his older brother?,Adversarial,Vector,0,0.0,0.0,0.0,10,6.83
Was the emissary of Noxus identified as a betrayer by Alistar's clan?,Adversarial,Vector,0,0.0,0.0,0.0,2,7.88
What region is Alune from?,Graph,Vector,0,0.0,0.0,0.0,0,2.73
Who is Alune's twin brother?,Graph,Vector,0,0.0,0.0,0.0,10,3.32
What is Alune's primary occupation?,Graph,Vector,0,0.0,0.0,0.0,3,5.21
"Which faction does Alune belong to, besides the Lunari?",Graph,Vector,0,0.0,0.0,0.0,0,2.57
What significant event marked Alune's birth?,Vector,Vector,1,0.0,0.0,0.0,10,4.78
How did Alune's magical abilities manifest?,Vector,Vector,1,0.0,0.0,0.0,0,4.78
What was the historical conflict between the Lunari and the Solari?,Vector,Vector,1,0.0,0.0,0.0,0,6.46
Describe the core beliefs of the Lunari faith.,Vector,Vector,1,0.0,0.0,0.0,9,20.53
How did Alune's magical gift from the spirit moon influence her role within the Lunari's struggle against the Solari in Targon?,Hybrid,Vector,0,0.33,0.33,0.33,0,22.93
"Considering Aphelios's role as protector and Alune's magical gifts, what does their shared destiny as children of the lunar convergence imply for the Lunari's future?",Hybrid,Vector,0,0.0,0.0,0.0,5,10.92
Tell me about Alune's sister.,Adversarial,Vector,0,0.0,0.0,0.0,0,5.65
"What did the Solari do to the Lunari, whom they considered heretics?",Adversarial,Vector,0,0.0,0.0,0.0,9,5.31
What are Amumu's weapons?,Graph,Vector,0,0.0,0.0,0.0,10,3.02
In which region did Amumu originate?,Graph,Vector,0,0.0,0.0,0.0,0,4.29
What were Amumu's former occupations?,Graph,Vector,0,0.0,0.0,0.0,0,2.84
What species is Amumu?,Graph,Vector,0,0.0,0.0,0.0,0,2.97
What is the reason behind Amumu's perpetual sadness?,Vector,Vector,1,0.0,0.0,0.0,10,5.78
Describe Amumu's actions during his reign as emperor.,Vector,Vector,1,0.0,0.0,0.0,10,14.54
What legendary artifact was Amumu hunting for?,Vector,Vector,1,0.0,0.0,0.0,5,3.08
How old is Amumu?,Vector,Vector,1,0.0,0.0,0.0,10,3.0
What was the significance of the Eye of Angor in Shurima?,Hybrid,Vector,0,0.0,0.0,0.0,10,5.25
How did Amumu's reign as Emperor of Shurima reflect his character?,Hybrid,Vector,0,0.67,0.67,0.67,10,9.45
What is the relationship between Amumu and his younger sister?,Adversarial,Vector,0,0.0,0.0,0.0,0,1.99
Who betrayed Amumu's trust when he sought the Eye of Angor?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.93
What weapon does Anivia use?,Graph,Vector,0,0.67,2.0,1.0,0,2.4
What is Anivia's place of origin?,Graph,Vector,0,0.0,0.0,0.0,0,6.94
List Anivia's brothers by name.,Graph,Vector,0,0.0,0.0,0.0,0,5.85
Which region is Anivia associated with?,Graph,Vector,0,0.0,0.0,0.0,0,4.07
Describe Anivia's role and feelings towards the first mortal tribes in Vorrijaard.,Vector,Vector,1,0.0,0.0,0.0,8,15.6
What is Anivia's approximate age?,Vector,Vector,1,0.0,0.0,0.0,1,5.09
What event prompted Anivia's anger towards outsiders during the early days of mortal tribes in Vorrijaard?,Vector,Vector,1,0.0,0.0,0.0,9,6.6
What are Anivia's primary occupations or roles?,Vector,Vector,1,0.0,0.0,0.0,5,8.11
"How did Anivia's role as a guardian in the Freljord influence the early mortal tribes, and what led to conflict?",Hybrid,Vector,0,0.0,0.0,0.0,0,14.43
"Given Anivia's family connection to Ornn, what does her role as a guardian of the Freljord suggest about their shared history or responsibilities?",Hybrid,Vector,0,0.0,0.0,0.0,0,9.21
Anivia has a brother. Who is he?,Adversarial,Vector,0,0.0,0.0,0.0,10,4.98
Anivia was angered by outsiders. What specific act of betrayal led to this anger?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.93
What is Annie's primary weapon?,Graph,Vector,0,0.0,0.0,0.0,10,2.63
In which region was Annie born?,Graph,Vector,0,0.0,0.0,0.0,10,4.55
Who are Annie's parents?,Graph,Vector,0,0.0,0.0,0.0,10,3.33
Who is Annie's pet?,Graph,Vector,0,0.0,0.0,0.0,0,2.51
Describe Annie's personality and motivations.,Vector,Vector,1,0.0,0.0,0.0,10,17.3
How did Annie's mother become fused with a demon?,Vector,Vector,1,0.0,0.0,0.0,0,7.43
What led Annie's parents to flee Noxus?,Vector,Vector,1,0.0,0.0,0.0,10,5.84
What is the origin of Tybaulk?,Vector,Vector,1,0.0,0.0,0.0,0,6.57
"Considering Annie's birth in the Ironspike Mountains and her mother's past with the Black Rose, how might these origins influence her future in Noxus?",Hybrid,Vector,0,0.0,0.0,0.0,10,26.03
"Given that Annie's mother was fused with the demon Tybaulk, how does this magical heritage potentially manifest in Annie's control over fire magic and her relationship with her teddy bear?",Hybrid,Vector,0,0.0,0.0,0.0,0,23.1
What is Annie's older brother's name?,Adversarial,Vector,0,0.0,0.0,0.0,10,3.19
Who is the traitor that cursed Annie's mother?,Adversarial,Vector,0,0.0,0.0,0.0,0,2.9
What are the names of Aphelios's unique weapons?,Graph,Vector,0,0.0,0.0,0.0,0,4.56
In which region does Aphelios primarily reside?,Graph,Vector,0,0.0,0.0,0.0,0,4.63
Identify Aphelios's twin sister.,Graph,Vector,0,0.0,0.0,0.0,10,4.13
Name other champions associated with the Lunari faction alongside Aphelios.,Graph,Vector,0,0.0,0.0,0.0,10,7.49
What is the psychological motivation behind Aphelios's dedication to the Lunari and his sister Alune?,Vector,Vector,1,0.0,0.0,0.0,10,12.15
Describe the historical significance of the Marus Omegnum phasing into existence for the Lunari people.,Vector,Vector,1,0.0,0.0,0.0,10,25.64
What specific action did Aphelios take when the Marus Omegnum reappeared from the Spirit Realm?,Vector,Vector,1,0.0,0.0,0.0,0,7.85
How does Aphelios view his role as the 'Weapon of the Faithful'?,Vector,Vector,1,0.0,0.0,0.0,9,11.04
How does Aphelios's role as the Weapon of the Faithful on Targon relate to his twin sister Alune's abilities as a seer?,Hybrid,Vector,0,0.33,0.33,0.33,10,9.46
"In the context of Lunari beliefs, what is the metaphysical origin of Aphelios's six distinct weapons?",Hybrid,Vector,0,0.0,0.0,0.0,10,5.52
Who is Aphelios's older brother?,Adversarial,Vector,0,0.0,0.0,0.0,0,4.44
Was Aphelios a traitor to the Rakkor empire?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.05
What is Ashe's primary weapon?,Graph,Vector,0,0.33,1.0,0.5,0,3.25
In which region does Ashe reside and rule?,Graph,Vector,0,0.0,0.0,0.0,0,7.34
Who is Ashe married to?,Graph,Vector,0,0.0,0.0,0.0,10,4.33
List Ashe's known siblings.,Graph,Vector,0,0.0,0.0,0.0,0,3.63
Describe the nature of Ashe's childhood friendship with Sejuani.,Vector,Vector,1,0.0,0.0,0.0,10,11.66
What caused Ashe's feelings of burden and isolation during her youth?,Vector,Vector,1,0.0,0.0,0.0,1,7.31
What was the reason for the severed ties between the Avarosan and Winter's Claw tribes concerning Sejuani's visits?,Vector,Vector,1,0.0,0.0,0.0,10,6.22
What is Ashe's relation to the ancient figure Avarosa?,Vector,Vector,1,0.0,0.0,0.0,8,3.88
"How did Ashe's upbringing in the Freljord, with its tribal pressures, shape her relationship with her estranged battlesister, Sejuani?",Hybrid,Vector,0,0.0,0.0,0.0,7,14.29
What is the symbolic importance of Avarosa's Bow for Ashe's role as the Warmother of the Freljord?,Hybrid,Vector,0,0.0,0.0,0.0,10,9.31
Who is Ashe's older brother?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,10,4.07
Did Sejuani betray Ashe and the Avarosans?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,6.51
What is Ashlesh's primary weapon?,Graph,Vector,0,0.0,0.0,0.0,0,2.57
Where was Ashlesh originally trapped?,Graph,Vector,0,0.0,0.0,0.0,0,4.34
Who are Ashlesh's family members?,Graph,Vector,0,0.0,0.0,0.0,0,2.81
Which other demon is explicitly mentioned as one of the Ten alongside Ashlesh?,Graph,Vector,0,0.0,0.0,0.0,10,4.55
What is Ashlesh's personality like?,Vector,Vector,1,0.0,0.0,0.0,10,7.9
When was Ashlesh born or created?,Vector,Vector,1,0.0,0.0,0.0,10,2.07
What did Ashlesh attempt to do before being imprisoned?,Vector,Vector,1,0.0,0.0,0.0,10,2.22
What is Ashlesh's current status?,Vector,Vector,1,0.0,0.0,0.0,0,2.85
Describe the events leading to Ashlesh's imprisonment in the underworld.,Hybrid,Vector,0,0.0,0.0,0.0,0,20.0
Who guards the place where Ashlesh was trapped and why?,Hybrid,Vector,0,0.0,0.0,0.0,10,4.26
Describe the betrayal Ashlesh suffered from the divine beings.,Adversarial/Trap,Vector,0,0.0,0.0,0.0,10,5.65
What is the name of Ashlesh's elder brother?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,2.14
What weapon does Atakhan use?,Graph,Vector,0,0.0,0.0,0.0,0,3.33
In which region is Atakhan currently residing?,Graph,Vector,0,0.0,0.0,0.0,4,5.78
Who was responsible for slaying Atakhan?,Graph,Vector,0,0.0,0.0,0.0,0,3.38
To which faction did Atakhan belong?,Graph,Vector,0,0.0,0.0,0.0,10,5.29
What were Atakhan's primary desires or motivations?,Vector,Vector,1,0.0,0.0,0.0,0,9.1
How did Atakhan become bound to Khatash-Li's helmet?,Vector,Vector,1,0.0,0.0,0.0,10,7.41
What was Atakhan's role during the reign of Sahn-Uzal?,Vector,Vector,1,0.0,0.0,0.0,10,9.91
What happened to Atakhan after Sahn-Uzal was slain?,Vector,Vector,1,0.0,0.0,0.0,0,7.3
"Considering Atakhan's past affiliation with Mordekaiser, what kind of entity is Atakhan often associated with in the Noxian region?",Hybrid,Vector,0,0.0,0.0,0.0,10,8.21
"Given that Zaahen is known for his ability to slay demons, how did Atakhan's nature as a demon likely play a role in his eventual defeat by Zaahen?",Hybrid,Vector,0,0.0,0.0,0.0,9,10.98
"Who is Atakhan's sworn enemy, referred to as 'the betrayer'?",Adversarial,Vector,0,0.0,0.0,0.0,0,9.64
Describe the relationship between Atakhan and his younger sister.,Adversarial,Vector,0,0.0,0.0,0.0,0,5.66
List Aurelion Sol's weapons.,Graph,Vector,0,0.67,2.0,1.0,0,2.38
What regions is Aurelion Sol associated with?,Graph,Vector,0,0.0,0.0,0.0,0,7.87
Name the characters related to Aurelion Sol.,Graph,Vector,0,0.0,0.0,0.0,0,3.44
What are Aurelion Sol's occupations?,Graph,Vector,0,0.0,0.0,0.0,10,4.67
Describe Aurelion Sol's initial motivations and approach to the universe.,Vector,Vector,1,0.0,0.0,0.0,0,18.53
When did Aurelion Sol come into existence?,Vector,Vector,1,0.0,0.0,0.0,10,6.82
Explain how Aurelion Sol was betrayed and detained.,Vector,Vector,1,0.0,0.0,0.0,10,7.67
What is Aurelion Sol's species?,Vector,Vector,1,0.0,0.0,0.0,10,4.92
"Considering Aurelion Sol's role as Star Forger, how did his forced service to the Aspects in Targon change his perspective on creation?",Hybrid,Vector,0,0.33,0.33,0.33,7,13.25
How does Aurelion Sol's origin as a celestial being relate to his conflict with the Aspects over Runeterra?,Hybrid,Vector,0,0.67,0.67,0.67,10,10.68
Did Aurelion Sol betray anyone?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,10,4.22
What is Aurelion Sol's younger sister's name?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,3.77
What weapons does Aurora wield?,Graph,Vector,0,0.0,0.0,0.0,0,3.73
In which region does Aurora currently reside?,Graph,Vector,0,0.0,0.0,0.0,0,3.62
What is Aurora's relationship with Ornn?,Graph,Vector,0,0.0,0.0,0.0,9,4.05
What is the name of Aurora's tribe?,Graph,Vector,0,0.0,0.0,0.0,10,4.35
Describe Aurora's early life and upbringing.,Vector,Vector,1,0.0,0.0,0.0,10,15.15
"What made Aurora's tribe, the Bryni, unique among Vastayan tribes?",Vector,Vector,1,0.0,0.0,0.0,10,5.9
How did Aurora's great aunt Havu influence her?,Vector,Vector,1,0.0,0.0,0.0,10,4.67
What is Aurora's special ability that allows her to see spirits?,Vector,Vector,1,0.0,0.0,0.0,0,5.44
How does Aurora's ability to see spirits affect her life in the Freljord?,Hybrid,Vector,0,0.0,0.0,0.0,10,7.78
Explain the impact of the Bryni tribe's isolation on Aurora's magical potential and her connection to the Spirit Realm.,Hybrid,Vector,0,0.0,0.0,0.0,10,11.39
Who is Aurora's closest companion?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.46
Describe Aurora's relationship with her kin.,Adversarial,Vector,0,0.0,0.0,0.0,10,15.06
What weapons does the Emperor of the Sands wield?,Graph,Vector,0,0.0,0.0,0.0,0,5.02
In which region does Azir currently reside?,Graph,Vector,0,0.0,0.0,0.0,5,4.71
List characters closely associated with Azir.,Graph,Vector,0,0.0,0.0,0.0,10,10.57
Who is Azir's most prominent descendant mentioned in his lore?,Graph,Vector,0,0.0,0.0,0.0,0,4.39
What was Azir's primary focus during his early life before becoming emperor?,Vector,Vector,1,0.0,0.0,0.0,6,3.97
How did Azir and Xerath initially form their friendship?,Vector,Vector,1,0.0,0.0,0.0,10,4.99
Describe the circumstances surrounding the assassination attempt on Azir's family.,Vector,Vector,1,0.0,0.0,0.0,0,7.99
What was the nature of Azir's relationship with his father and siblings?,Vector,Vector,1,0.0,0.0,0.0,10,9.3
"Considering Azir's ascent to Emperor of Shurima and his close bond with Xerath, what ancient text was crucial to their initial friendship?",Hybrid,Vector,0,1.0,0.6,0.75,10,6.87
How did the ancient desert region of Shurima and the political turmoil surrounding Azir's family influence the events of the assassination attempt?,Hybrid,Vector,0,0.67,0.67,0.67,4,9.27
What was the role of Azir's older brother in the assassination attempt?,Adversarial,Vector,0,0.0,0.0,0.0,0,3.4
Describe the betrayal that led to Azir's downfall.,Adversarial,Vector,0,0.0,0.0,0.0,10,13.95
What weapon does Bard use?,Graph,Vector,0,0.0,0.0,0.0,0,3.96
What region is Bard associated with?,Graph,Vector,0,0.0,0.0,0.0,1,5.79
Who are some characters related to Bard?,Graph,Vector,0,0.0,0.0,0.0,10,9.77
Where did Bard originate from?,Graph,Vector,0,0.0,0.0,0.0,10,4.62
What motivated Bard to travel the universe?,Vector,Vector,1,0.0,0.0,0.0,4,7.03
When did Bard first become aware of Runeterra?,Vector,Vector,1,0.0,0.0,0.0,0,4.05
What kind of being is Bard?,Vector,Vector,1,0.0,0.0,0.0,5,4.55
What are the creatures that accompany Bard called?,Vector,Vector,1,0.0,0.0,0.0,8,3.26
"How did Bard perceive Runeterra's song initially, and why did he intervene?",Hybrid,Vector,0,0.0,0.0,0.0,10,5.81
What role did Aurelion Sol play in Bard's existence or purpose?,Hybrid,Vector,0,0.0,0.0,0.0,5,7.3
Who is Bard's brother?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,3.47
Describe the betrayal Bard suffered.,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,8.82
Where does Baron Nashor primarily reside?,Graph,Vector,0,0.0,0.0,0.0,0,3.7
What species is Baron Nashor?,Graph,Vector,0,0.0,0.0,0.0,0,1.0
What is Baron Nashor's faction?,Graph,Vector,0,0.0,0.0,0.0,0,1.93
Describe Baron Nashor's unique physical appendages.,Graph,Vector,0,0.0,0.0,0.0,0,2.87
What is known about Baron Nashor's origins?,Vector,Vector,1,0.0,0.0,0.0,10,4.17
What is Baron Nashor's general behavior pattern?,Vector,Vector,1,0.0,0.0,0.0,0,6.12
Are there indications that Baron Nashor has been involved in past conflicts?,Vector,Vector,1,0.0,0.0,0.0,0,4.36
What are the main colors of Baron Nashor's exoskeleton?,Vector,Vector,1,0.33,1.0,0.5,10,4.2
"Considering Baron Nashor is a Voidborn creature from the Void, what can be inferred about its nature from its appearance and consumption habits?",Hybrid,Vector,0,0.0,0.0,0.0,10,5.64
"Given Baron Nashor's faction is the Void, how does its described physical form relate to its potential origins and functions in Runeterra?",Hybrid,Vector,0,0.0,0.0,0.0,9,11.2
Who is Baron Nashor's brother?,Adversarial,Vector,0,0.0,0.0,0.0,10,3.05
Is Baron Nashor considered a traitor in Runeterra?,Adversarial,Vector,0,0.0,0.0,0.0,0,2.99
What weapons does Bel'Veth wield?,Graph,Vector,0,0.0,0.0,0.0,10,5.13
Who are the creators of Bel'Veth?,Graph,Vector,0,0.0,0.0,0.0,9,5.43
In which regions is Bel'Veth primarily active?,Graph,Vector,0,0.0,0.0,0.0,0,6.7
List characters who are related to Bel'Veth.,Graph,Vector,0,0.0,0.0,0.0,0,2.29
What is Bel'Veth's ultimate ambition for reality?,Vector,Vector,1,0.0,0.0,0.0,10,6.19
Describe the Void before the emergence of the first Voidborn entities.,Vector,Vector,1,0.0,0.0,0.0,10,8.34
How did the Void's environment change due to increased interaction with Runeterra?,Vector,Vector,1,0.0,0.0,0.0,10,8.33
What is the origin of the Lavender Sea and its significance?,Vector,Vector,1,0.0,0.0,0.0,2,10.98
"Given Bel'Veth's creation by the Watchers and her desire to consume all reality, how does this reflect her role in the Void's grander plan?",Hybrid,Vector,0,0.0,0.0,0.0,10,14.08
"How does the development of the Lavender Sea, a mutated part of the Void, relate to Bel'Veth's reign as Void Empress?",Hybrid,Vector,0,0.0,0.0,0.0,8,11.0
Is Bel'Veth considered a traitor by the Watchers who brought her into existence?,Adversarial,Vector,0,0.0,0.0,0.0,0,5.51
Does Bel'Veth have any younger sisters who are also Voidborn entities?,Adversarial,Vector,0,0.0,0.0,0.0,10,4.87
List Blitzcrank's primary weapons.,Graph,Vector,0,0.0,0.0,0.0,0,3.62
Who are the characters related to Blitzcrank?,Graph,Vector,0,0.0,0.0,0.0,0,1.67
In which region was Blitzcrank created?,Graph,Vector,0,0.0,0.0,0.0,10,4.17
Who is credited as Blitzcrank's creator?,Graph,Vector,0,0.0,0.0,0.0,10,3.84
What was Blitzcrank originally designed to do in Zaun?,Vector,Vector,1,0.0,0.0,0.0,5,5.8
"How old is Blitzcrank, according to their current age range?",Vector,Vector,1,0.33,1.0,0.5,0,3.82
What was Blitzcrank's state before Viktor found and modified them?,Vector,Vector,1,0.0,0.0,0.0,9,4.81
What is Blitzcrank's primary role or occupation in Zaun?,Vector,Vector,1,0.0,0.0,0.0,10,7.81
How did Viktor's use of a Shuriman hextech crystal to upgrade Blitzcrank aid in Zaun's cleanup efforts?,Hybrid,Vector,0,0.0,0.0,0.0,5,7.65
Explain the symbiotic relationship between Zaun's hazardous environment and Blitzcrank's purpose as a guardian.,Hybrid,Vector,0,0.0,0.0,0.0,10,20.47
Who is Blitzcrank's older brother?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,3.57
Did anyone betray Blitzcrank or their creator during their formation?,Adversarial/Trap,Vector,0,0.0,0.0,0.0,0,4.09
What is Brand's primary weapon?,Graph,Vector,0,0.67,2.0,1.0,10,3.65
What region is Brand originally from?,Graph,Vector,0,0.0,0.0,0.0,5,4.3
Who was Brand's former lover?,Graph,Vector,0,0.0,0.0,0.0,0,4.58
Who was Brand's apprentice master?,Graph,Vector,0,0.0,0.0,0.0,4,3.94
Why was Kegan Rodhe shunned in Rygann's Reach?,Vector,Vector,1,0.0,0.0,0.0,0,7.43
What was Brand's birth name?,Vector,Vector,1,0.0,0.0,0.0,10,4.24
Describe Kegan Rodhe's childhood in Rygann's Reach.,Vector,Vector,1,0.0,0.0,0.0,0,9.04
How did Kegan Rodhe's parentage affect his upbringing?,Vector,Vector,1,0.0,0.0,0.0,4,6.21
"How did the harsh environment of Rygann's Reach, Freljord shape Kegan Rodhe's early experiences?",Hybrid,Vector,0,0.33,0.5,0.4,1,6.91
What was the significance of Kegan Rodhe's relationship with Zvanna in his troubled youth?,Hybrid,Vector,0,0.0,0.0,0.0,10,9.6
Who was the traitor responsible for abandoning Kegan Rodhe?,Adversarial,Vector,0,0.33,0.5,0.4,0,4.4
How did Brand's older brother influence his transformation?,Adversarial,Vector,0,0.0,0.0,0.0,10,6.73
What is the name of Braum's primary weapon?,Graph,Vector,0,0.0,0.0,0.0,10,3.74
In which region does Braum hail from?,Graph,Vector,0,0.0,0.0,0.0,0,5.67
Who is the legendary blacksmith that created Braum's door-shield?,Graph,Vector,0,0.0,0.0,0.0,2,4.05
What was Braum's role in bringing the Freljord family together?,Graph,Vector,0,0.0,0.0,0.0,10,5.45
What did Braum's mother teach him about the nature of true courage?,Vector,Vector,1,0.0,0.0,0.0,9,5.32
What was Braum's early life philosophy regarding the people of the Freljord?,Vector,Vector,1,0.0,0.0,0.0,10,7.65
Why did Braum leave his home town?,Vector,Vector,1,0.0,0.0,0.0,10,5.42
What did Braum's mother do when their home town was attacked by ice giants?,Vector,Vector,1,0.0,0.0,0.0,10,4.85
"What is Braum's region, and how did his mother's teachings influence his quest for unity within the Freljord?",Hybrid,Vector,0,0.0,0.0,0.0,9,5.54
"Describe the relationship between Braum and Ornn, and how it relates to Braum's heroic deeds in the Freljord.",Hybrid,Vector,0,0.0,0.0,0.0,10,18.16
What was Braum's elder brother's role in his early life?,Adversarial,Vector,0,0.0,0.0,0.0,10,9.34
Who did Braum betray to become a legendary tale hero?,Adversarial,Vector,0,0.0,0.0,0.0,10,3.27
What weapons does Briar wield?,Graph,Vector,0,0.0,0.0,0.0,3,5.02
Who is credited as Briar's creator?,Graph,Vector,0,0.0,0.0,0.0,5,3.7
In which region was Briar created?,Graph,Vector,0,0.0,0.0,0.0,5,5.15
Name a historical figure associated with the period of Briar's creation.,Graph,Vector,0,0.0,0.0,0.0,10,3.49
Describe Briar's primary psychological affliction.,Vector,Vector,1,0.0,0.0,0.0,10,7.94
What was the immediate outcome of Briar's first mission?,Vector,Vector,1,0.0,0.0,0.0,10,5.92
What was the Black Rose's intended purpose for Briar?,Vector,Vector,1,0.0,0.0,0.0,0,6.16
How were Briar's violent instincts initially managed?,Vector,Vector,1,0.0,0.0,0.0,9,5.68
